RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =           99     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
   72   98     0     0  con    1  1.6D-01  9.0D-02  3.038D+00  9.127D-01
   73   99     0     0  con    0  1.0D+00  1.2D-01  5.107D-01  9.124D-01
   74  100     0     0  con    0  1.0D+00  7.9D-02  2.180D-01  9.123D-01
   75  101     0     0  con    0  1.0D+00  4.9D-02  1.318D-01  9.123D-01
   76  102     0     0  con    0  1.0D+00  1.2D-01  3.788D-01  9.122D-01
   77  104     0     0  con    1  3.9D-02  2.7D-02  3.858D-01  9.122D-01
   78  105     0     0  con    0  1.0D+00  2.6D-02  2.055D-01  9.122D-01
   79  109     0     0  con    3  2.0D+00  1.2D-01  2.517D-01  9.121D-01
   80  110     0     0  con    0  1.0D+00  6.5D-02  3.136D-01  9.121D-01
   81  112     0     0  con    1  1.3D-01  9.8D-02  2.958D-01  9.121D-01
   82  113     0     0  con    0  1.0D+00  4.8D-02  4.015D-02  9.121D-01
   83  114     0     0  con    0  1.0D+00  1.1D-02  1.699D-01  9.121D-01
   84  116     0     0  con    1  4.9D-01  4.4D-03  2.192D-01  9.121D-01
   85  117     0     0  con    0  1.0D+00  1.2D-02  5.407D-02  9.121D-01
   86  118     0     0  con    0  1.0D+00  5.3D-03  4.779D-02  9.121D-01
   87  119     0     0  con    0  1.0D+00  1.3D-02  1.607D-01  9.121D-01
   88  120     0     0  con    0  1.0D+00  3.5D-02  1.492D-01  9.121D-01
   89  121     0     0  con    0  1.0D+00  3.7D-02  1.340D+00  9.120D-01
   90  122     0     0  con    0  1.0D+00  1.2D-02  8.106D-01  9.120D-01
   91  123     0     0  con    0  1.0D+00  9.0D-02  1.632D+00  9.119D-01
   92  124     0     0  con    0  1.0D+00  9.4D-02  2.928D+00  9.117D-01
   93  125     0     0  con    0  1.0D+00  1.1D-01  2.849D+00  9.115D-01
   94  127     0     0  con    1  5.0D-02  2.8D-02  3.544D+00  9.115D-01
   95  128     0     0  con    0  1.0D+00  1.9D-02  9.142D-01  9.115D-01
   96  129     0     0  con    0  1.0D+00  5.1D-02  2.848D-01  9.114D-01
   97  131     0     0  con    1  4.5D-01  7.0D-02  8.661D-01  9.114D-01
   98  132     0     0  con    0  1.0D+00  6.2D-02  6.040D-01  9.114D-01
   99  134     0     0  con    1  5.0D-01  2.0D-02  3.098D-01  9.114D-01
  100  135     0     0  con    0  1.0D+00  3.0D-03  2.698D-01  9.114D-01
  101  136     0     0  con    0  1.0D+00  1.8D-02  2.540D-01  9.114D-01
  102  137     0     0  con    0  1.0D+00  9.7D-03  2.108D-01  9.114D-01
  103  139     0     0  con    1  4.7D-01  9.4D-03  5.904D-01  9.114D-01
  104  140     0     0  con    0  1.0D+00  5.5D-03  5.428D-01  9.114D-01
  105  141     0     0  con    0  1.0D+00  1.0D-01  4.551D-01  9.114D-01
  106  143     0     0  con    1  6.7D-02  3.8D-02  3.459D-01  9.114D-01
  107  144     0     0  con    0  1.0D+00  4.8D-02  9.409D-02  9.114D-01
  108  145     0     0  con    0  1.0D+00  2.1D-02  8.534D-02  9.114D-01
  109  147     0     0  con    1  3.6D-01  1.2D-02  1.150D-01  9.114D-01
  110  148     0     0  con    0  1.0D+00  9.3D-03  5.296D-01  9.114D-01
  111  149     0     0  con    0  1.0D+00  1.4D-02  2.754D-01  9.114D-01
  112  150     0     0  con    0  1.0D+00  5.2D-02  4.197D-01  9.113D-01
  113  151     0     0  con    0  1.0D+00  8.5D-02  9.635D-01  9.112D-01
  114  152     0     0  con    0  1.0D+00  6.4D-02  8.806D-02  9.112D-01
  115  153     0     0  con    0  1.0D+00  4.0D-01  1.303D-01  9.108D-01
  116  160     0     0  con    6  2.0D-03  5.8D-02  3.718D-01  9.107D-01
  117  162     0     0  con    1  2.9D-01  9.6D-02  1.156D+00  9.107D-01
  118  163     0     0  con    0  1.0D+00  2.9D-02  1.857D+00  9.106D-01
  119  164     0     0  con    0  1.0D+00  3.0D-02  6.729D-01  9.106D-01
  120  165     0     0  con    0  1.0D+00  3.2D-02  3.924D-01  9.106D-01
  121  166     0     0  con    0  1.0D+00  4.5D-02  6.115D-02  9.106D-01
  122  167     0     0  con    0  1.0D+00  4.1D-03  6.828D-02  9.106D-01
  123  168     0     0  con    0  1.0D+00  8.1D-03  1.823D-01  9.106D-01
  124  169     0     0  con    0  1.0D+00  3.2D-02  4.616D-01  9.105D-01
  125  171     0     0  con    1  5.3D-01  1.7D-02  5.087D-01  9.105D-01
  126  172     0     0  con    0  1.0D+00  2.3D-02  7.486D-01  9.105D-01
  127  173     0     0  con    0  1.0D+00  6.7D-02  1.666D+00  9.104D-01
  128  174     0     0  con    0  1.0D+00  1.2D-01  2.075D+00  9.103D-01
  129  176     0     0  con    1  1.4D-01  5.5D-02  1.066D-01  9.102D-01
  130  177     0     0  con    0  1.0D+00  2.0D-01  1.422D-01  9.101D-01
  131  179     0     0  con    1  1.7D-01  1.2D-01  7.062D-01  9.100D-01
  132  181     0     0  con    1  8.3D-02  9.6D-02  1.020D+00  9.098D-01
  133  182     0     0  con    0  1.0D+00  1.3D-01  9.606D-01  9.096D-01
  134  183     0     0  con    0  1.0D+00  5.5D-01  5.728D+00  9.092D-01
  135  184     0     0  con    0  1.0D+00  1.3D-01  1.951D+00  9.089D-01
  136  186     0     0  con    1  3.5D-01  1.8D-01  1.991D-01  9.087D-01
  137  190     0     0  con    3  6.8D-03  1.1D-03  2.100D-01  9.087D-01
  138  192     0     0  con    1  5.2D-02  1.3D-02  1.599D+00  9.087D-01
  139  193     0     0  con    0  1.0D+00  7.5D-02  2.262D+00  9.087D-01
  140  194     0     0  con    0  1.0D+00  3.5D-02  2.472D+00  9.085D-01
  141  195     0     0  con    0  1.0D+00  1.7D-01  3.832D+00  9.082D-01
  142  196     0     0  con    0  1.0D+00  3.3D-01  1.658D+00  9.077D-01
  143  197     0     0  con    0  1.0D+00  3.7D-01  8.751D-01  9.074D-01
  144  198     0     0  con    0  1.0D+00  3.0D-01  6.064D-01  9.073D-01
  145  199     0     0  con    0  1.0D+00  1.5D-01  9.897D-02  9.073D-01

STOP: TOTAL NO. of f AND g EVALUATIONS EXCEEDS LIMIT        

 Total User time 0.000E+00 seconds.

